,Year,Team,Wins,Losses,Draws,TeamsBeat,TeamsDraw,TeamsLoss,GoalsFor,GoalsAgainst
363,2010,FRA,0,2,1,[],['URY'],"['MEX', 'ZAF']",1.0,4.0
364,2010,KOR,1,2,1,['GRC'],['NGA'],"['ARG', 'URY']",6.0,8.0
365,2010,GRC,1,2,0,['NGA'],[],"['KOR', 'ARG']",2.0,5.0
366,2010,ARG,4,1,0,"['NGA', 'KOR', 'GRC', 'MEX']",[],['DEU'],10.0,6.0
367,2010,NGA,0,2,1,[],['KOR'],"['ARG', 'GRC']",3.0,5.0
368,2010,ENG,1,1,2,['SVN'],"['USA', 'DZA']",['DEU'],3.0,5.0
369,2010,USA,1,1,2,['DZA'],"['ENG', 'SVN']",['GHA'],5.0,5.0
370,2010,DZA,0,2,1,[],['ENG'],"['SVN', 'USA']",0.0,2.0
371,2010,SVN,1,1,1,['DZA'],['USA'],['ENG'],3.0,3.0
372,2010,SRB,1,2,0,['DEU'],[],"['GHA', 'AUS']",2.0,3.0
373,2010,GHA,2,1,2,"['SRB', 'USA']","['AUS', 'URY']",['DEU'],5.0,4.0
374,2010,DEU,5,2,0,"['AUS', 'GHA', 'ENG', 'ARG', 'URY']",[],"['SRB', 'ESP']",16.0,5.0
375,2010,AUS,1,1,1,['SRB'],['GHA'],['DEU'],3.0,6.0
376,2010,NLD,6,1,0,"['DNK', 'JPN', 'CMR', 'SVK', 'BRA', 'URY']",[],['ESP'],12.0,6.0
377,2010,DNK,1,2,0,['CMR'],[],"['NLD', 'JPN']",3.0,6.0
378,2010,JPN,2,1,1,"['CMR', 'DNK']",['PRY'],['NLD'],4.0,2.0
379,2010,CMR,0,3,0,[],[],"['JPN', 'DNK', 'NLD']",2.0,5.0
380,2010,ITA,0,1,2,[],"['PRY', 'NZL']",['SVK'],4.0,5.0
381,2010,PRY,1,1,3,['SVK'],"['ITA', 'NZL', 'JPN']",['ESP'],3.0,2.0
382,2010,NZL,0,0,3,[],"['SVK', 'ITA', 'PRY']",[],2.0,2.0
383,2010,SVK,1,2,1,['ITA'],['NZL'],"['PRY', 'NLD']",5.0,7.0
384,2010,CIV,1,1,1,['PRK'],['PRT'],['BRA'],4.0,3.0
385,2010,PRT,1,1,2,['PRK'],"['CIV', 'BRA']",['ESP'],7.0,1.0
386,2010,BRA,3,1,1,"['PRK', 'CIV', 'CHL']",['PRT'],['NLD'],9.0,4.0
387,2010,PRK,0,3,0,[],[],"['BRA', 'PRT', 'CIV']",1.0,12.0
388,2010,HND,0,2,1,[],['CHE'],"['CHL', 'ESP']",0.0,3.0
389,2010,CHL,2,2,0,"['HND', 'CHE']",[],"['ESP', 'BRA']",3.0,5.0
390,2010,ESP,6,1,0,"['HND', 'CHL', 'PRT', 'PRY', 'DEU', 'NLD']",[],['CHE'],8.0,2.0
391,2010,CHE,1,1,1,['ESP'],['HND'],['CHL'],1.0,1.0
392,2014,BRA,4,4,3,"['HRV', 'CMR', 'COL', 'COL']","['MEX', 'CHL', 'CHL']","['DEU', 'NLD', 'DEU', 'NLD']",15.0,26.0
393,2014,HRV,1,2,0,['CMR'],[],"['BRA', 'MEX']",6.0,6.0
394,2014,MEX,2,2,1,"['CMR', 'HRV']",['BRA'],"['NLD', 'NLD']",6.0,5.0
395,2014,CMR,0,3,0,[],[],"['MEX', 'HRV', 'BRA']",1.0,9.0
396,2014,ESP,1,2,0,['AUS'],[],"['NLD', 'CHL']",4.0,7.0
397,2014,NLD,7,0,4,"['ESP', 'AUS', 'CHL', 'BRA', 'MEX', 'MEX', 'BRA']","['ARG', 'CRI', 'CRI', 'ARG']",[],20.0,5.0
398,2014,CHL,2,1,2,"['AUS', 'ESP']","['BRA', 'BRA']",['NLD'],7.0,5.0
399,2014,AUS,0,3,0,[],[],"['CHL', 'NLD', 'ESP']",3.0,9.0
400,2014,COL,5,2,0,"['GRC', 'CIV', 'JPN', 'URY', 'URY']",[],"['BRA', 'BRA']",15.0,6.0
401,2014,GRC,1,1,3,['CIV'],"['JPN', 'CRI', 'CRI']",['COL'],4.0,6.0
402,2014,URY,2,3,0,"['ENG', 'ITA']",[],"['CRI', 'COL', 'COL']",4.0,8.0
403,2014,CRI,2,0,5,"['URY', 'ITA']","['ENG', 'NLD', 'GRC', 'GRC', 'NLD']",[],6.0,3.0
404,2014,ENG,0,2,1,[],['CRI'],"['ITA', 'URY']",2.0,4.0
405,2014,ITA,1,2,0,['ENG'],[],"['CRI', 'URY']",2.0,3.0
406,2014,CIV,1,2,0,['JPN'],[],"['COL', 'GRC']",4.0,5.0
407,2014,JPN,0,2,1,[],['GRC'],"['CIV', 'COL']",2.0,6.0
408,2014,CHE,2,3,0,"['ECU', 'HND']",[],"['FRA', 'ARG', 'ARG']",7.0,8.0
409,2014,ECU,1,1,1,['HND'],['FRA'],['CHE'],3.0,3.0
410,2014,FRA,4,2,1,"['HND', 'CHE', 'NGA', 'NGA']",['ECU'],"['DEU', 'DEU']",12.0,4.0
