,Year,Home_goals,Away_goals,Home Team,Away Team
521,1998,0,1,KSA,DEN
522,1998,3,0,FRA,RSA
523,1998,2,3,ESP,NGA
524,1998,1,3,KOR,MEX
525,1998,0,0,NED,BEL
526,1998,1,0,ARG,JPN
527,1998,1,0,YUG,IRN
528,1998,1,3,JAM,CRO
529,1998,2,0,ENG,TUN
530,1998,1,0,ROU,COL
531,1998,2,0,GER,USA
532,1998,1,1,SCO,NOR
533,1998,3,0,BRA,MAR
534,1998,1,1,CHI,AUT
535,1998,3,0,ITA,CMR
536,1998,1,1,RSA,DEN
537,1998,4,0,FRA,KSA
538,1998,1,0,NGA,BUL
539,1998,0,0,ESP,PAR
540,1998,0,1,JPN,CRO
541,1998,2,2,BEL,MEX
542,1998,5,0,NED,KOR
543,1998,2,2,GER,YUG
544,1998,5,0,ARG,JAM
545,1998,1,2,USA,IRN
546,1998,1,0,COL,TUN
547,1998,2,1,ROU,ENG
548,1998,2,1,ITA,AUT
549,1998,1,1,CHI,CMR
550,1998,0,3,SCO,MAR
551,1998,1,2,BRA,NOR
552,1998,2,1,FRA,DEN
553,1998,2,2,RSA,KSA
554,1998,6,1,ESP,BUL
555,1998,1,3,NGA,PAR
556,1998,1,1,BEL,KOR
557,1998,2,2,NED,MEX
558,1998,2,0,GER,IRN
559,1998,0,1,USA,YUG
560,1998,1,2,JPN,JAM
561,1998,1,0,ARG,CRO
562,1998,1,1,ROU,TUN
563,1998,0,2,COL,ENG
564,1998,1,0,ITA,NOR
565,1998,4,1,BRA,CHI
566,1998,1,0,FRA,PAR
567,1998,1,4,NGA,DEN
568,1998,2,1,GER,MEX
569,1998,2,1,NED,YUG
570,1998,0,1,ROU,CRO
571,1998,2,2,ARG,ENG
572,1998,0,0,ITA,FRA
573,1998,3,2,BRA,DEN
574,1998,2,1,NED,ARG
575,1998,0,3,GER,CRO
576,1998,1,1,BRA,NED
577,1998,2,1,FRA,CRO
578,1998,1,2,NED,CRO
579,1998,0,3,BRA,FRA
580,2002,0,1,FRA,SEN
581,2002,1,2,URU,DEN
582,2002,1,1,IRL,CMR
583,2002,8,0,GER,KSA
584,2002,1,0,ARG,NGA
585,2002,2,2,PAR,RSA
586,2002,1,1,ENG,SWE
587,2002,3,1,ESP,SVN
588,2002,2,1,BRA,TUR
589,2002,2,0,ITA,ECU
590,2002,0,1,CRO,MEX
591,2002,0,2,CHN,CRC
592,2002,2,2,JPN,BEL
593,2002,2,0,KOR,POL
594,2002,2,0,RUS,TUN
595,2002,3,2,USA,POR
596,2002,1,1,GER,IRL
597,2002,1,1,DEN,SEN
598,2002,1,0,CMR,KSA
599,2002,0,0,FRA,URU
600,2002,2,1,SWE,NGA
601,2002,0,1,ARG,ENG
602,2002,3,1,ESP,PAR
603,2002,1,0,RSA,SVN
604,2002,4,0,BRA,CHN
605,2002,1,2,ITA,CRO
606,2002,1,1,CRC,TUR
607,2002,1,0,JPN,RUS
608,2002,2,1,MEX,ECU
609,2002,1,1,KOR,USA
610,2002,4,0,POR,POL
611,2002,1,1,TUN,BEL
612,2002,2,0,DEN,FRA
613,2002,3,3,SEN,URU
614,2002,0,3,KSA,IRL
615,2002,0,2,CMR,GER
616,2002,1,1,SWE,ARG
617,2002,0,0,NGA,ENG
618,2002,1,3,SVN,PAR
619,2002,2,3,RSA,ESP
620,2002,2,5,CRC,BRA
621,2002,3,0,TUR,CHN
622,2002,1,0,ECU,CRO
623,2002,1,1,MEX,ITA
624,2002,0,2,TUN,JPN
625,2002,0,1,POR,KOR
626,2002,3,1,POL,USA
627,2002,3,2,BEL,RUS
628,2002,0,3,DEN,ENG
629,2002,1,0,GER,PAR
630,2002,1,1,ESP,IRL
631,2002,1,2,SWE,SEN
632,2002,2,0,BRA,BEL
633,2002,0,2,MEX,USA
634,2002,0,1,JPN,TUR
635,2002,2,1,KOR,ITA
636,2002,1,2,ENG,BRA
637,2002,1,0,GER,USA
638,2002,0,1,SEN,TUR
639,2002,0,0,ESP,KOR
640,2002,1,0,GER,KOR
641,2002,1,0,BRA,TUR
642,2002,2,3,KOR,TUR
643,2002,0,2,GER,BRA
644,2006,4,2,GER,CRC
645,2006,0,2,POL,ECU
646,2006,1,0,ENG,PAR
647,2006,0,0,TRI,SWE
648,2006,2,1,ARG,CIV
649,2006,0,1,SCG,NED
650,2006,3,1,MEX,IRN
651,2006,0,1,ANG,POR
652,2006,3,1,AUS,JPN
653,2006,0,3,USA,CZE
654,2006,2,0,ITA,GHA
655,2006,2,1,KOR,TOG
656,2006,0,0,FRA,SUI
657,2006,1,0,BRA,CRO
658,2006,4,0,ESP,UKR
659,2006,2,2,TUN,KSA
660,2006,1,0,GER,POL
661,2006,3,0,ECU,CRC
662,2006,2,0,ENG,TRI
663,2006,1,0,SWE,PAR
664,2006,6,0,ARG,SCG
665,2006,2,1,NED,CIV
666,2006,0,0,MEX,ANG
667,2006,2,0,POR,IRN
668,2006,0,2,CZE,GHA
669,2006,1,1,ITA,USA
670,2006,0,0,JPN,CRO
671,2006,2,0,BRA,AUS
672,2006,1,1,FRA,KOR
673,2006,0,2,TOG,SUI
674,2006,0,4,KSA,UKR
675,2006,3,1,ESP,TUN
676,2006,0,3,ECU,GER
677,2006,1,2,CRC,POL
678,2006,2,2,SWE,ENG
679,2006,2,0,PAR,TRI
680,2006,1,1,IRN,ANG
681,2006,2,1,POR,MEX
682,2006,0,0,NED,ARG
683,2006,3,2,CIV,SCG
684,2006,0,2,CZE,ITA
685,2006,2,1,GHA,USA
686,2006,1,4,JPN,BRA
687,2006,2,2,CRO,AUS
688,2006,1,0,UKR,TUN
689,2006,0,1,KSA,ESP
690,2006,0,2,TOG,FRA
691,2006,2,0,SUI,KOR
692,2006,2,0,GER,SWE
693,2006,2,1,ARG,MEX
694,2006,1,0,ENG,ECU
695,2006,1,0,POR,NED
696,2006,1,0,ITA,AUS
697,2006,0,0,SUI,UKR
698,2006,3,0,BRA,GHA
699,2006,1,3,ESP,FRA
700,2006,1,1,GER,ARG
701,2006,3,0,ITA,UKR
702,2006,0,0,ENG,POR
703,2006,0,1,BRA,FRA
704,2006,0,2,GER,ITA
705,2006,0,1,POR,FRA
706,2006,3,1,GER,POR
707,2006,1,1,ITA,FRA
708,2010,1,1,RSA,MEX
709,2010,0,0,URU,FRA
710,2010,2,0,KOR,GRE
711,2010,1,0,ARG,NGA
712,2010,1,1,ENG,USA
713,2010,0,1,ALG,SVN
714,2010,0,1,SRB,GHA
715,2010,4,0,GER,AUS
716,2010,2,0,NED,DEN
717,2010,1,0,JPN,CMR
718,2010,1,1,ITA,PAR
719,2010,1,1,NZL,SVK
720,2010,0,0,CIV,POR
721,2010,2,1,BRA,PRK
722,2010,0,1,HON,CHI
723,2010,0,1,ESP,SUI
724,2010,0,3,RSA,URU
725,2010,4,1,ARG,KOR
726,2010,2,1,GRE,NGA
727,2010,0,2,FRA,MEX
728,2010,0,1,GER,SRB
729,2010,2,2,SVN,USA
730,2010,0,0,ENG,ALG
731,2010,1,0,NED,JPN
732,2010,1,1,GHA,AUS
733,2010,1,2,CMR,DEN
734,2010,0,2,SVK,PAR
735,2010,1,1,ITA,NZL
736,2010,3,1,BRA,CIV
737,2010,7,0,POR,PRK
738,2010,1,0,CHI,SUI
739,2010,2,0,ESP,HON
740,2010,0,1,MEX,URU
741,2010,1,2,FRA,RSA
742,2010,2,2,NGA,KOR
743,2010,0,2,GRE,ARG
744,2010,0,1,SVN,ENG
745,2010,1,0,USA,ALG
746,2010,0,1,GHA,GER
747,2010,2,1,AUS,SRB
748,2010,3,2,SVK,ITA
749,2010,0,0,PAR,NZL
750,2010,1,3,DEN,JPN
751,2010,1,2,CMR,NED
752,2010,0,0,POR,BRA
753,2010,0,3,PRK,CIV
754,2010,1,2,CHI,ESP
755,2010,0,0,SUI,HON
756,2010,2,1,URU,KOR
757,2010,1,2,USA,GHA
758,2010,4,1,GER,ENG
759,2010,3,1,ARG,MEX
760,2010,2,1,NED,SVK
761,2010,3,0,BRA,CHI
762,2010,0,0,PAR,JPN
763,2010,1,0,ESP,POR
764,2010,2,1,NED,BRA
765,2010,1,1,URU,GHA
766,2010,0,4,ARG,GER
767,2010,0,1,PAR,ESP
768,2010,2,3,URU,NED
769,2010,0,1,GER,ESP
770,2010,2,3,URU,GER
771,2010,0,1,NED,ESP
772,2014,3,1,BRA,CRO
773,2014,1,0,MEX,CMR
774,2014,1,5,ESP,NED
775,2014,3,1,CHI,AUS
776,2014,3,0,COL,GRE
777,2014,1,3,URU,CRC
778,2014,1,2,ENG,ITA
779,2014,2,1,CIV,JPN
780,2014,2,1,SUI,ECU
781,2014,3,0,FRA,HON
782,2014,2,1,ARG,BIH
783,2014,4,0,GER,POR
784,2014,0,0,IRN,NGA
785,2014,1,2,GHA,USA
786,2014,2,1,BEL,ALG
787,2014,0,0,BRA,MEX
788,2014,1,1,RUS,KOR
789,2014,2,3,AUS,NED
790,2014,0,2,ESP,CHI
791,2014,0,4,CMR,CRO
792,2014,2,1,COL,CIV
793,2014,2,1,URU,ENG
794,2014,0,0,JPN,GRE
795,2014,0,1,ITA,CRC
796,2014,2,5,SUI,FRA
797,2014,1,2,HON,ECU
798,2014,1,0,ARG,IRN
799,2014,2,2,GER,GHA
800,2014,1,0,NGA,BIH
801,2014,1,0,BEL,RUS
802,2014,2,4,KOR,ALG
803,2014,2,2,USA,POR
804,2014,0,3,AUS,ESP
805,2014,2,0,NED,CHI
806,2014,1,4,CMR,BRA
807,2014,1,3,CRO,MEX
808,2014,0,1,ITA,URU
809,2014,0,0,CRC,ENG
810,2014,1,4,JPN,COL
811,2014,2,1,GRE,CIV
812,2014,2,3,NGA,ARG
813,2014,3,1,BIH,IRN
814,2014,0,3,HON,SUI
815,2014,0,0,ECU,FRA
816,2014,0,1,USA,GER
817,2014,2,1,POR,GHA
818,2014,0,1,KOR,BEL
819,2014,1,1,ALG,RUS
820,2014,1,1,BRA,CHI
821,2014,2,0,COL,URU
822,2014,2,0,FRA,NGA
823,2014,2,1,GER,ALG
824,2014,2,1,BRA,COL
825,2014,0,1,FRA,GER
826,2014,1,7,BRA,GER
827,2014,0,3,BRA,NED
828,2014,1,0,GER,ARG
