Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,GDP Home,GDP Away
1982,3,1,england,france,ENG,FRA,,585000000000.0
1982,1,1,spain,honduras,ESP,HND,196000000000.0,4266503526.0
1982,0,1,chile,austria,CHL,AUT,25325893206.0,71275287570.0
1982,1,1,czechoslovakia,kuwait,CZE,KWT,,
1982,0,0,yugoslavia,northern ireland,YUG,NIL,,
1982,1,1,italy,peru,ITA,PER,427000000000.0,21793496819.0
1982,4,1,argentina,hungary,ARG,HUN,,
1982,4,1,brazil,scotland,BRA,SCT,,
1982,0,0,poland,cameroon,POL,CMR,,6611255018.0
1982,1,0,belgium,el salvador,BEL,SLV,92095926188.0,
1982,3,0,soviet union,new zealand,SUN,NZL,,
1982,4,1,germany fr,chile,DEU,CHL,,25325893206.0
1982,2,0,england,czechoslovakia,ENG,CZE,,
1982,2,1,spain,yugoslavia,ESP,YUG,196000000000.0,
1982,0,2,algeria,austria,DZA,AUT,45207088716.0,71275287570.0
1982,4,1,france,kuwait,FRA,KWT,585000000000.0,
1982,1,1,honduras,northern ireland,HND,NIL,4266503526.0,
1982,5,1,poland,peru,POL,PER,,21793496819.0
1982,1,1,belgium,hungary,BEL,HUN,92095926188.0,
1982,2,2,soviet union,scotland,SUN,SCT,,
1982,1,1,italy,cameroon,ITA,CMR,427000000000.0,6611255018.0
1982,2,0,argentina,el salvador,ARG,SLV,,
1982,4,0,brazil,new zealand,BRA,NZL,,
1982,3,2,algeria,chile,DZA,CHL,45207088716.0,25325893206.0
1982,1,1,france,czechoslovakia,FRA,CZE,585000000000.0,
1982,0,1,honduras,yugoslavia,HND,YUG,4266503526.0,
1982,1,0,germany fr,austria,DEU,AUT,,71275287570.0
1982,1,0,england,kuwait,ENG,KWT,,
1982,1,0,northern ireland,spain,NIL,ESP,,196000000000.0
1982,0,1,austria,france,AUT,FRA,71275287570.0,585000000000.0
1982,3,0,poland,belgium,POL,BEL,,92095926188.0
1982,2,1,italy,argentina,ITA,ARG,427000000000.0,
1982,0,0,germany fr,england,DEU,ENG,,
1982,2,2,austria,northern ireland,AUT,NIL,71275287570.0,
1982,0,1,belgium,soviet union,BEL,SUN,92095926188.0,
1982,1,3,argentina,brazil,ARG,BRA,,
1982,2,1,germany fr,spain,DEU,ESP,,196000000000.0
1982,4,1,france,northern ireland,FRA,NIL,585000000000.0,
1982,0,0,poland,soviet union,POL,SUN,,
1982,3,2,italy,brazil,ITA,BRA,427000000000.0,
1982,0,0,spain,england,ESP,ENG,196000000000.0,
1982,0,2,poland,italy,POL,ITA,,427000000000.0
1982,3,3,germany fr,france,DEU,FRA,,585000000000.0
1982,3,2,poland,france,POL,FRA,,585000000000.0
1982,3,1,italy,germany fr,ITA,DEU,427000000000.0,
1986,1,1,bulgaria,italy,BGR,ITA,,640000000000.0
1986,0,1,canada,france,CAN,FRA,377000000000.0,771000000000.0
1986,0,1,spain,brazil,ESP,BRA,251000000000.0,
1986,6,0,soviet union,hungary,SUN,HUN,,
1986,3,1,argentina,korea republic,ARG,KOR,,117000000000.0
1986,0,0,morocco,poland,MAR,POL,19462175322.0,
1986,1,1,algeria,northern ireland,DZA,NIL,63692238160.0,
1986,1,2,belgium,mexico,BEL,MEX,120000000000.0,135000000000.0
1986,1,0,portugal,england,PRT,ENG,38745901354.0,
1986,1,0,paraguay,iraq,PRY,IRQ,,
